8,124
80,85
16,99
54,79
47,106
99,159
46,72
48,166
28,105
83,83
94,131
36,107
15,85
77,97
30,96
4,112
73,119
95,94
40,118
56,90
53,71
62,94
92,123
23,101
20,103
44,115
82,89
25,70
58,138
1,91
26,67
86,131
49,74
13,129
22,178
91,82
70,137
45,88
27,74
60,150
93,151
21,127
97,138
75,116
5,117
43,84
11,146
39,77
3,135
61,137
96,92
87,84
67,124
14,114
17,119
66,72
89,96
50,70
33,147
19,82
57,98
51,76
35,111
65,293
31,113
52,89
76,97
69,108
37,176
85,140
34,80
81,145
32,112
12,118
79,115
10,172
42,83
90,91
18,215
78,97
59,136
98,88
100,144
63,116
9,75
24,77
64,111
55,172
68,119
84,104
88,82
38,81
74,81
6,125
102,0
71,111
29,89
2,103
72,97
41,55
7,104
