32,32.25
70,36.25
51,45.53
34,22.42
71,20.86
23,38.93
42,24.25
89,28.31
83,17.66
102,0.00
21,42.92
18,8.05
55,16.66
26,32.83
8,40.96
68,0.00
11,48.17
87,26.17
6,23.21
94,12.74
60,43.34
93,0.57
96,11.14
20,45.87
50,22.62
47,7.39
38,39.04
58,0.00
12,0.00
14,44.23
82,0.00
9,18.27
101,0.00
65,0.00
27,13.28
37,22.33
72,21.34
98,6.22
19,0.00
31,26.57
99,13.57
97,28.58
13,28.11
85,30.22
66,23.18
44,19.86
52,15.10
77,17.87
3,0.00
78,41.62
91,31.48
22,27.94
92,39.84
100,45.02
48,13.65
61,22.78
67,37.05
81,16.47
54,22.36
